Topic,File,ExplicitDate,OrganizationEntity,OtherEntity,PersonEntity,PlaceEntity,FutureEvent,GenericEvent,IndirectEventReference,PeriodicEvent,SpecificEvent,ACF,DPS,Temporal
450,1999-trec8-adhoc-450.txt,0,0,0,2,2,0,0,2,0,0,0.28013948958049434,43.46697772017817,1
449,1999-trec8-adhoc-449.txt,0,0,0,0,0,0,0,0,0,0,-0.03335682478701752,4.5853188309690225,0
448,1999-trec8-adhoc-448.txt,0,0,0,0,0,0,2,0,0,0,-0.0560797043892669,4.8036686250702445,1
447,1999-trec8-adhoc-447.txt,0,0,2,0,0,0,0,0,0,0,0,0,0
446,1999-trec8-adhoc-446.txt,0,0,0,0,0,0,2,0,0,0,0.02001525736770257,10.896165076861934,1
445,1999-trec8-adhoc-445.txt,0,0,0,0,1,0,0,0,0,0,0.16039680612754426,8.570506852183915,0
444,1999-trec8-adhoc-444.txt,0,0,0,0,0,0,0,0,0,0,-0.013403614457831338,0.20236189036135188,0
443,1999-trec8-adhoc-443.txt,0,0,0,0,4,0,0,0,0,0,0.13483833239930798,26.305213690519334,1
442,1999-trec8-adhoc-442.txt,0,0,0,0,0,0,0,0,0,0,-0.025524673851389564,0.30024427018604316,1
441,1999-trec8-adhoc-441.txt,0,0,2,0,0,0,0,0,0,0,0,0,0
440,1999-trec8-adhoc-440.txt,0,0,0,0,0,0,0,0,0,0,-0.018143672373279643,2.6425805939481477,0
439,1999-trec8-adhoc-439.txt,0,0,0,0,0,0,2,0,0,0,0.14767861480273428,10.77243020551336,1
438,1999-trec8-adhoc-438.txt,0,0,0,0,0,0,0,0,0,0,0.04364630085593125,10.899009876830021,1
437,1999-trec8-adhoc-437.txt,0,0,0,0,0,0,0,0,0,0,0.21140445020686505,12.11591590138821,1
436,1999-trec8-adhoc-436.txt,0,0,0,0,0,0,2,0,0,0,0.09626103248765679,6.086834706570108,1
435,1999-trec8-adhoc-435.txt,0,0,0,0,0,0,0,0,0,0,0.2308820294743017,4.189340991309696,1
434,1999-trec8-adhoc-434.txt,0,0,0,0,2,0,0,0,0,0,0.08206484278876817,27.739759342736125,1
433,1999-trec8-adhoc-433.txt,0,0,0,0,2,0,0,0,0,0,0.20426795426795424,0.9861150305265286,0
432,1999-trec8-adhoc-432.txt,0,0,0,0,0,0,0,0,0,0,0,0,1
431,1999-trec8-adhoc-431.txt,0,0,0,0,0,0,0,0,0,0,0.04075136918143063,5.7594537226571365,1
430,1999-trec8-adhoc-430.txt,0,0,0,0,0,0,2,0,0,0,0,0,0
429,1999-trec8-adhoc-429.txt,0,0,2,0,0,0,2,0,0,0,-5.165956347668913E-4,0.09147662478432089,0
428,1999-trec8-adhoc-428.txt,0,0,0,0,2,0,0,0,0,0,0.24698165145290688,8.159322289930147,1
427,1999-trec8-adhoc-427.txt,0,0,0,0,0,0,0,0,0,0,0.014145957062407583,2.0356625460338797,1
426,1999-trec8-adhoc-426.txt,0,0,0,0,0,0,0,0,0,0,0.06320965125709674,0.7253869014350502,0
425,1999-trec8-adhoc-425.txt,0,0,0,0,0,0,0,0,0,0,-0.07809489014492164,2.6436916461536835,1
424,1999-trec8-adhoc-424.txt,0,0,0,0,0,0,0,0,0,0,0.11789091851276073,7.520697539861472,1
423,1999-trec8-adhoc-423.txt,0,0,0,4,0,0,0,0,0,0,-0.042373181351552346,0.8090680286224344,0
422,1999-trec8-adhoc-422.txt,0,0,0,0,0,0,0,0,0,0,0.0037671793409681017,4.243637643783626,1
421,1999-trec8-adhoc-421.txt,0,0,0,0,0,0,0,0,0,0,-0.09559064530433611,2.758216373326054,1
420,1999-trec8-adhoc-420.txt,0,0,0,0,0,0,0,0,0,0,-0.01941628264208909,0.39546393070706304,1
419,1999-trec8-adhoc-419.txt,0,0,0,0,0,0,0,0,0,0,0.05576305220883526,0.7706397097091582,0
418,1999-trec8-adhoc-418.txt,0,0,0,0,0,0,0,0,0,0,-0.019961077981555827,4.600612338429675,1
417,1999-trec8-adhoc-417.txt,0,0,0,0,0,0,0,0,0,0,0.23965499270377316,3.3922359830691424,0
416,1999-trec8-adhoc-416.txt,0,0,2,0,0,0,0,1,0,0,0.02049594260439542,1.5264316021762279,0
415,1999-trec8-adhoc-415.txt,0,0,0,0,5,0,1,0,0,0,-3.5931012456085886E-4,0.19451239646662724,0
414,1999-trec8-adhoc-414.txt,0,0,0,0,2,0,0,0,0,0,-0.030468360737419063,1.5095955995770312,0
