Topic,File,ExplicitDate,OrganizationEntity,OtherEntity,PersonEntity,PlaceEntity,FutureEvent,GenericEvent,IndirectEventReference,PeriodicEvent,SpecificEvent,ACF,DPS,Temporal
450,1999-trec8-adhoc-450.txt,0,0,0,2,2,0,0,2,0,0,0.2255153220074282,86.76263765969934,1
449,1999-trec8-adhoc-449.txt,0,0,0,0,0,0,0,0,0,0,0.227534965034965,8.26497311388564,0
448,1999-trec8-adhoc-448.txt,0,0,0,0,0,0,2,0,0,0,0.03292374520246356,7.2272004252944955,1
447,1999-trec8-adhoc-447.txt,0,0,2,0,0,0,0,0,0,0,0,0,0
446,1999-trec8-adhoc-446.txt,0,0,0,0,0,0,2,0,0,0,0.3013999935780109,53.30822772715067,1
445,1999-trec8-adhoc-445.txt,0,0,0,0,1,0,0,0,0,0,0.19023557152365592,36.555823265140354,0
444,1999-trec8-adhoc-444.txt,0,0,0,0,0,0,0,0,0,0,-0.013403614457831338,0.20236189036135188,0
443,1999-trec8-adhoc-443.txt,0,0,0,0,4,0,0,0,0,0,0.23487048711954858,69.5473245274679,1
442,1999-trec8-adhoc-442.txt,0,0,0,0,0,0,0,0,0,0,0.24473026722533925,85.74273330561525,1
441,1999-trec8-adhoc-441.txt,0,0,2,0,0,0,0,0,0,0,-0.06289394354617697,0.9170785994546851,0
440,1999-trec8-adhoc-440.txt,0,0,0,0,0,0,0,0,0,0,-0.01985091455775494,5.681228990132929,0
439,1999-trec8-adhoc-439.txt,0,0,0,0,0,0,2,0,0,0,0.4875499978948257,27.275799707874548,1
438,1999-trec8-adhoc-438.txt,0,0,0,0,0,0,0,0,0,0,0.2364392364392364,34.36926738020591,1
437,1999-trec8-adhoc-437.txt,0,0,0,0,0,0,0,0,0,0,0.21140445020686505,12.11591590138821,1
436,1999-trec8-adhoc-436.txt,0,0,0,0,0,0,2,0,0,0,0.3878156709784285,119.910572233912,1
435,1999-trec8-adhoc-435.txt,0,0,0,0,0,0,0,0,0,0,-0.048454913307864445,6.157728050190762,1
434,1999-trec8-adhoc-434.txt,0,0,0,0,2,0,0,0,0,0,0.12622771809703695,38.54384927908915,1
433,1999-trec8-adhoc-433.txt,0,0,0,0,2,0,0,0,0,0,-0.12543934068597748,1.2649618378331027,0
432,1999-trec8-adhoc-432.txt,0,0,0,0,0,0,0,0,0,0,0.16294291243658884,4.510312487637884,1
431,1999-trec8-adhoc-431.txt,0,0,0,0,0,0,0,0,0,0,-0.0258235740163451,11.827289945934723,1
430,1999-trec8-adhoc-430.txt,0,0,0,0,0,0,2,0,0,0,-0.03696003696003698,0.43265387767251623,0
429,1999-trec8-adhoc-429.txt,0,0,2,0,0,0,2,0,0,0,0.12286324786324827,0.47520507322828526,0
428,1999-trec8-adhoc-428.txt,0,0,0,0,2,0,0,0,0,0,0.2110745108373412,15.268448177865416,1
427,1999-trec8-adhoc-427.txt,0,0,0,0,0,0,0,0,0,0,-0.06125048955237619,4.49124219187134,1
426,1999-trec8-adhoc-426.txt,0,0,0,0,0,0,0,0,0,0,0.7340825285254122,301.9093928196226,0
425,1999-trec8-adhoc-425.txt,0,0,0,0,0,0,0,0,0,0,0.13884540777783347,7.776715154304331,1
424,1999-trec8-adhoc-424.txt,0,0,0,0,0,0,0,0,0,0,0.29763937346893254,49.63915484702474,1
423,1999-trec8-adhoc-423.txt,0,0,0,4,0,0,0,0,0,0,-0.042373181351552346,0.8090680286224344,0
422,1999-trec8-adhoc-422.txt,0,0,0,0,0,0,0,0,0,0,0.23930771809193924,73.47994525183843,1
421,1999-trec8-adhoc-421.txt,0,0,0,0,0,0,0,0,0,0,0.010207425739777048,4.581514415371827,1
420,1999-trec8-adhoc-420.txt,0,0,0,0,0,0,0,0,0,0,0.09088244871377417,7.049401847139327,1
419,1999-trec8-adhoc-419.txt,0,0,0,0,0,0,0,0,0,0,-0.03193038579067992,1.3826652212039292,0
418,1999-trec8-adhoc-418.txt,0,0,0,0,0,0,0,0,0,0,0.2759259259259258,20.365180238914874,1
417,1999-trec8-adhoc-417.txt,0,0,0,0,0,0,0,0,0,0,-0.010212171831758536,10.339481862057925,0
416,1999-trec8-adhoc-416.txt,0,0,2,0,0,0,0,1,0,0,0.02049594260439542,1.5264316021762279,0
415,1999-trec8-adhoc-415.txt,0,0,0,0,5,0,1,0,0,0,-0.034130866242635456,0.5771218197233275,0
414,1999-trec8-adhoc-414.txt,0,0,0,0,2,0,0,0,0,0,0.1601226908717437,2.5567393922391837,0
413,1999-trec8-adhoc-413.txt,0,0,0,0,0,0,0,0,0,0,0.06082017179274033,8.65603044160481,0
412,1999-trec8-adhoc-412.txt,0,0,0,0,0,0,0,0,0,0,0.3603266458312326,34.5067711089235,1
411,1999-trec8-adhoc-411.txt,0,0,0,0,0,0,0,0,0,0,0.1748774807469743,4.888394026603784,1
410,1999-trec8-adhoc-410.txt,0,2,0,0,1,0,0,0,0,2,0.029842962381476757,12.17694527575422,1
409,1999-trec8-adhoc-409.txt,1,0,2,0,1,0,1,1,0,1,0.3076786472274915,5.606511072474062,1
408,1999-trec8-adhoc-408.txt,0,0,0,0,0,0,2,0,0,0,-0.01164104361546021,32.51039880355227,1
407,1999-trec8-adhoc-407.txt,0,0,0,0,0,0,0,0,0,0,0.13680592279217327,8.659060438345985,1
406,1999-trec8-adhoc-406.txt,0,0,2,0,0,0,0,0,0,0,0.16935750952144368,1.3495189280159416,0
405,1999-trec8-adhoc-405.txt,0,0,0,0,0,0,2,0,0,0,0.06259748886476996,3.4014962660405375,0
404,1999-trec8-adhoc-404.txt,0,0,0,0,2,0,0,0,0,2,0.3161837824727539,134.43814383718927,1
403,1999-trec8-adhoc-403.txt,0,0,0,0,0,0,0,0,0,0,0.26304445892436557,2.674967333737433,0
402,1999-trec8-adhoc-402.txt,0,0,0,0,0,0,0,0,0,0,-0.0161971366365376,8.617139034492709,1
401,1999-trec8-adhoc-401.txt,0,0,0,0,2,0,0,0,0,0,0.1974969686186125,231.81364321863205,1
400,1998-trec7-adhoc-400.txt,0,0,0,0,3,0,0,0,0,0,0.0022365322778026375,13.90610816120608,1
399,1998-trec7-adhoc-399.txt,0,0,0,0,0,0,0,0,0,0,-0.03940608440702591,3.4880188655965694,1
