Topic,File,ExplicitDate,OrganizationEntity,OtherEntity,PersonEntity,PlaceEntity,FutureEvent,GenericEvent,IndirectEventReference,PeriodicEvent,SpecificEvent,ACF,DPS,Temporal
450,1999-trec8-adhoc-450.txt,0,0,0,2,2,0,0,2,0,0,0.2835382095854468,4.7408021373131275,1
449,1999-trec8-adhoc-449.txt,0,0,0,0,0,0,0,0,0,0,0.07073326520183931,0.8853738504364378,0
448,1999-trec8-adhoc-448.txt,0,0,0,0,0,0,2,0,0,0,0.005172398830135436,1.4169953596155402,1
447,1999-trec8-adhoc-447.txt,0,0,2,0,0,0,0,0,0,0,0,0,0
446,1999-trec8-adhoc-446.txt,0,0,0,0,0,0,2,0,0,0,-0.12757681067846144,1.2832350615224168,1
445,1999-trec8-adhoc-445.txt,0,0,0,0,1,0,0,0,0,0,-0.01499999999999998,0.21727245165834158,0
444,1999-trec8-adhoc-444.txt,0,0,0,0,0,0,0,0,0,0,0,0,0
443,1999-trec8-adhoc-443.txt,0,0,0,0,4,0,0,0,0,0,0.0016309144633332743,0.9226458209598557,1
442,1999-trec8-adhoc-442.txt,0,0,0,0,0,0,0,0,0,0,0.01693418467465304,7.1976953715576535,1
441,1999-trec8-adhoc-441.txt,0,0,2,0,0,0,0,0,0,0,-0.04746014089729324,0.5836771264997495,0
440,1999-trec8-adhoc-440.txt,0,0,0,0,0,0,0,0,0,0,0.049918166939443565,1.2977342693872223,0
439,1999-trec8-adhoc-439.txt,0,0,0,0,0,0,2,0,0,0,-0.10989974937343351,1.0393012821429293,1
438,1999-trec8-adhoc-438.txt,0,0,0,0,0,0,0,0,0,0,-0.09907834101382483,1.1459168772000818,1
437,1999-trec8-adhoc-437.txt,0,0,0,0,0,0,0,0,0,0,0,0,1
436,1999-trec8-adhoc-436.txt,0,0,0,0,0,0,2,0,0,0,-0.06114639166272804,9.35191809819374,1
435,1999-trec8-adhoc-435.txt,0,0,0,0,0,0,0,0,0,0,-0.07151510789641002,1.0895144906694745,1
434,1999-trec8-adhoc-434.txt,0,0,0,0,2,0,0,0,0,0,-7.717538105344263E-4,0.11390198777757182,1
433,1999-trec8-adhoc-433.txt,0,0,0,0,2,0,0,0,0,0,-0.028820494573919202,0.29395220598543564,0
432,1999-trec8-adhoc-432.txt,0,0,0,0,0,0,0,0,0,0,0.16294291243658884,4.510312487637884,1
431,1999-trec8-adhoc-431.txt,0,0,0,0,0,0,0,0,0,0,-0.06759247998054063,2.8318924469529367,1
430,1999-trec8-adhoc-430.txt,0,0,0,0,0,0,2,0,0,0,-0.03411172161172167,0.4582916256271223,0
429,1999-trec8-adhoc-429.txt,0,0,2,0,0,0,2,0,0,0,-0.021666666666666664,0.28659652756462484,0
428,1999-trec8-adhoc-428.txt,0,0,0,0,2,0,0,0,0,0,-0.025204265337210922,0.29058943675006194,1
427,1999-trec8-adhoc-427.txt,0,0,0,0,0,0,0,0,0,0,0.06424161156173729,1.9759323641989548,1
426,1999-trec8-adhoc-426.txt,0,0,0,0,0,0,0,0,0,0,-0.004302458842804835,12.527432311960428,0
425,1999-trec8-adhoc-425.txt,0,0,0,0,0,0,0,0,0,0,-0.07598938992042448,3.2536253806859374,1
424,1999-trec8-adhoc-424.txt,0,0,0,0,0,0,0,0,0,0,0.15930717364872324,11.484616262793171,1
423,1999-trec8-adhoc-423.txt,0,0,0,4,0,0,0,0,0,0,0,0,0
422,1999-trec8-adhoc-422.txt,0,0,0,0,0,0,0,0,0,0,0.14055751864939167,8.16767103534476,1
421,1999-trec8-adhoc-421.txt,0,0,0,0,0,0,0,0,0,0,0.02431077694235605,0.9387788253195928,1
