Document Title	Package	End	Excerpt Creator	Excerpt Copy	Codes Applied Combined
1997-trec6-adhoc-343.txt	34	48	gsherma2	Police Deaths 	GenericEvent
1992-trec1-adhoc-51.txt	40	49	willis8	Subsidies	GenericEvent
1992-trec1-adhoc-51.txt	112	128	willis8	Airbus Industrie	OrganizationEntity
1992-trec1-adhoc-51.txt	165	171	willis8	Airbus	OrganizationEntity
1992-trec1-adhoc-51.txt	178	182	willis8	U.S.	PlaceEntity
1992-trec1-adhoc-51.txt	87	108	willis8	government assistance	GenericEvent
1992-trec1-adhoc-51.txt	143	157	willis8	trade dispute 	GenericEvent
1992-trec1-adhoc-52.txt	33	46	willis8	South African	PlaceEntity
1992-trec1-adhoc-52.txt	47	56	willis8	Sanctions	GenericEvent
1992-trec1-adhoc-52.txt	109	121	willis8	South Africa	PlaceEntity
1992-trec1-adhoc-52.txt	91	100	willis8	sanctions	GenericEvent
1992-trec1-adhoc-53.txt	33	50	willis8	Leveraged Buyouts	GenericEvent
1992-trec1-adhoc-53.txt	88	104	willis8	leveraged buyout	GenericEvent
1992-trec1-adhoc-54.txt	33	59	willis8	Satellite Launch Contracts	GenericEvent
1992-trec1-adhoc-54.txt	191	220	willis8	launch a commercial satellite	GenericEvent
1992-trec1-adhoc-54.txt	98	144	willis8	signing of a contract or preliminary agreement	GenericEvent
1992-trec1-adhoc-55.txt	33	48	willis8	Insider Trading	GenericEvent
1992-trec1-adhoc-55.txt	86	106	willis8	insider-trading case	GenericEvent
1992-trec1-adhoc-56.txt	178	193	willis8	prime rate move	GenericEvent
1992-trec1-adhoc-56.txt	33	59	willis8	Prime (Lending) Rate Moves	GenericEvent
1992-trec1-adhoc-56.txt	112	151	willis8	prediction about the prime lending rate	FutureEvent
1992-trec1-adhoc-57.txt	33	36	willis8	MCI	OrganizationEntity
1992-trec1-adhoc-57.txt	78	81	willis8	MCI	OrganizationEntity
1992-trec1-adhoc-57.txt	107	118	willis8	Bell System	OrganizationEntity
1992-trec1-adhoc-58.txt	33	45	willis8	Rail Strikes	GenericEvent
1992-trec1-adhoc-58.txt	75	110	willis8	predict or anticipate a rail strike	FutureEvent
1992-trec1-adhoc-58.txt	124	144	willis8	ongoing rail  strike	GenericEvent
1992-trec1-adhoc-59.txt	106	120	willis8	weather event 	GenericEvent
1992-trec1-adhoc-59.txt	159	184	willis8	fatality in some location	GenericEvent
1992-trec1-adhoc-59.txt	33	59	willis8	Weather Related Fatalities	GenericEvent
1992-trec1-adhoc-61.txt	33	40	willis8	Israeli	PlaceEntity
1992-trec1-adhoc-61.txt	49	68	willis8	Iran-Contra Affair 	SpecificEvent
1992-trec1-adhoc-61.txt	117	123	willis8	Israel	PlaceEntity
1992-trec1-adhoc-61.txt	131	149	willis8	Iran-Contra Affair	SpecificEvent
1992-trec1-adhoc-62.txt	33	55	willis8	Military Coups D'etat 	GenericEvent
1992-trec1-adhoc-62.txt	93	113	willis8	military coup d'etat	GenericEvent
