Track,Topic,Coder1,Coder2,Efron,Dakka,Peetz,Novelty
blog06,876,2,1,0,0,0,0
blog06,877,0,0,0,0,0,0
blog06,878,0,0,0,0,0,0
blog06,879,0,0,0,0,1,0
blog06,880,0,1,0,0,0,0
blog06,881,1,1,0,0,1,0
blog06,882,2,0,0,0,1,0
blog06,883,0,0,0,0,0,0
blog06,884,0,0,0,0,0,0
blog06,885,0,0,0,0,0,0
blog06,886,2,1,0,0,1,0
blog06,887,2,0,0,0,1,0
blog06,888,0,0,0,0,1,0
blog06,889,0,0,0,0,0,0
blog06,890,2,2,0,0,1,0
blog06,891,0,0,0,0,1,0
blog06,892,0,0,0,0,1,0
blog06,893,0,0,0,0,0,0
blog06,894,0,0,0,0,0,0
blog06,895,1,0,0,0,1,0
blog06,896,0,0,0,0,1,0
blog06,897,1,2,0,0,1,0
blog06,898,0,0,0,0,0,0
blog06,899,0,0,0,0,1,0
blog06,900,0,0,0,0,0,0
blog07,926,0,2,0,0,0,0
blog07,927,2,2,0,0,0,0
blog07,928,2,1,0,0,1,0
blog07,929,0,0,0,0,0,0
blog07,930,0,0,0,0,0,0
blog07,931,2,0,0,0,0,0
blog07,932,2,1,0,0,0,0
blog07,933,2,2,0,0,1,0
blog07,934,0,0,0,0,0,0
blog07,935,0,1,0,0,0,0
blog07,936,2,2,0,0,1,0
blog07,937,0,0,0,0,1,0
blog07,938,2,2,0,0,1,0
blog07,939,0,0,0,0,0,0
blog07,940,2,1,0,0,0,0
blog07,941,1,0,0,0,0,0
blog07,942,0,0,0,0,0,0
blog07,943,2,2,0,0,1,0
blog07,944,0,0,0,0,0,0
blog07,945,0,1,0,0,0,0
blog07,946,0,0,0,0,0,0
blog07,947,1,2,0,0,1,0
blog07,948,0,0,0,0,0,0
blog07,949,2,0,0,0,0,0
blog07,950,0,0,0,0,0,0
blog08,1026,0,0,0,0,1,0
blog08,1027,0,0,0,0,0,0
blog08,1028,2,2,0,0,1,0
blog08,1029,1,0,0,0,1,0
blog08,1030,1,0,0,0,1,0
blog08,1031,0,0,0,0,0,0
blog08,1032,2,1,0,0,1,0
blog08,1033,0,0,0,0,0,0
blog08,1034,1,0,0,0,1,0
blog08,1035,0,0,0,0,0,0
blog08,1036,2,1,0,0,0,0
blog08,1037,1,0,0,0,0,0
blog08,1038,1,0,0,0,0,0
blog08,1039,0,0,0,0,0,0
blog08,1040,0,0,0,0,1,0
blog08,1041,2,1,0,0,0,0
blog08,1042,2,2,0,0,0,0
blog08,1043,2,1,0,0,1,0
blog08,1044,0,0,0,0,0,0
blog08,1045,2,0,0,0,0,0
blog08,1046,1,0,0,0,0,0
blog08,1047,0,0,0,0,0,0
blog08,1048,2,1,0,0,0,0
blog08,1049,0,0,0,0,0,0
blog08,1050,1,0,0,0,1,0
mb11,026,1,2,0,0,0,0
mb11,027,0,0,0,0,0,0
mb11,028,2,2,0,0,0,0
mb11,029,0,0,0,0,0,0
mb11,030,2,2,0,0,0,0
mb11,031,2,2,0,0,0,0
mb11,032,2,2,0,0,0,0
mb11,033,1,0,0,0,0,0
mb11,034,1,1,0,0,0,0
mb11,035,2,2,0,0,0,0
mb11,036,2,2,0,0,0,0
mb11,037,2,2,0,0,0,0
mb11,038,2,2,0,0,0,0
mb11,039,2,2,0,0,0,0
mb11,040,2,2,0,0,0,0
mb11,041,2,0,0,0,0,0
mb11,042,2,2,0,0,0,0
mb11,043,2,2,0,0,0,0
mb11,044,2,2,0,0,0,0
mb11,045,0,0,0,0,0,0
mb11,046,0,0,0,0,0,0
mb11,047,0,0,0,0,0,0
mb11,048,2,2,0,0,0,0
mb11,049,1,0,0,0,0,0
mb11,050,2,0,0,0,0,0
mb12,076,2,0,0,0,0,0
mb12,077,2,0,0,0,0,0
mb12,078,0,0,0,0,0,0
mb12,079,2,2,0,0,0,0
mb12,080,2,2,0,0,0,0
mb12,081,0,0,0,0,0,0
mb12,082,1,0,0,0,0,0
mb12,083,1,2,0,0,0,0
mb12,084,1,0,0,0,0,0
mb12,085,1,0,0,0,0,0
mb12,086,2,2,0,0,0,0
mb12,087,0,0,0,0,0,0
mb12,088,2,2,0,0,0,0
mb12,089,2,1,0,0,0,0
mb12,090,0,0,0,0,0,0
mb12,091,1,0,0,0,0,0
mb12,092,0,0,0,0,0,0
mb12,093,2,2,0,0,0,0
mb12,094,0,0,0,0,0,0
mb12,095,0,0,0,0,0,0
mb12,096,2,2,0,0,0,0
mb12,097,1,0,0,0,0,0
mb12,098,2,1,0,0,0,0
mb12,099,2,2,0,0,0,0
mb12,100,1,2,0,0,0,0
mb12,101,2,2,0,0,0,0
mb12,102,0,0,0,0,0,0
mb12,103,1,1,0,0,0,0
mb12,104,0,0,0,0,0,0
mb12,105,2,2,0,0,0,0
mb12,106,2,0,0,0,0,0
mb12,107,0,0,0,0,0,0
mb12,108,0,0,0,0,0,0
mb12,109,2,2,0,0,0,0
mb12,110,1,0,0,0,0,0
novelty,100,2,0,0,0,0,0
novelty,26,1,0,0,0,0,0
novelty,27,0,0,0,0,0,0
novelty,28,0,0,0,0,0,0
novelty,29,0,0,0,0,0,0
novelty,30,2,0,0,0,0,0
novelty,31,1,0,0,0,0,0
novelty,32,1,0,0,0,0,0
novelty,33,2,2,0,0,0,1
novelty,34,2,2,0,0,0,1
novelty,35,2,2,0,0,0,1
novelty,36,2,2,0,0,0,1
novelty,37,2,2,0,0,0,1
novelty,38,0,0,0,0,0,0
novelty,39,2,1,0,0,0,1
novelty,40,2,2,0,0,0,1
novelty,41,2,2,0,0,0,1
novelty,42,2,2,0,0,0,1
novelty,43,2,2,0,0,0,1
novelty,44,2,2,0,0,0,1
novelty,45,2,2,0,0,0,1
novelty,46,2,2,0,0,0,1
novelty,47,2,2,0,0,0,1
novelty,48,2,1,0,0,0,1
novelty,49,2,2,0,0,0,1
novelty,50,2,2,0,0,0,1
novelty,76,0,0,0,0,0,0
novelty,77,0,0,0,0,0,0
novelty,78,0,0,0,0,0,0
novelty,79,2,2,0,0,0,1
novelty,80,2,2,0,0,0,1
novelty,81,2,2,0,0,0,1
novelty,82,2,2,0,0,0,1
novelty,83,2,2,0,0,0,1
novelty,84,1,0,0,0,0,0
novelty,85,2,2,0,0,0,1
novelty,86,1,0,0,0,0,0
novelty,87,2,2,0,0,0,1
novelty,88,2,2,0,0,0,1
novelty,89,1,0,0,0,0,0
novelty,90,2,2,0,0,0,1
novelty,91,0,0,0,0,0,0
novelty,92,2,2,0,0,0,1
novelty,93,0,0,0,0,0,0
novelty,94,0,0,0,0,0,0
novelty,95,2,2,0,0,0,1
novelty,96,0,,0,0,0,0
novelty,97,0,0,0,0,0,0
