Topic,File,ExplicitDate,OrganizationEntity,OtherEntity,PersonEntity,PlaceEntity,FutureEvent,GenericEvent,IndirectEventReference,PeriodicEvent,SpecificEvent,ACF,DPS,Temporal
200,1994-trec3-adhoc-200.txt,0,0,0,0,2,0,0,0,0,0,0.20391115306882224,10.768718300693521,0
199,1994-trec3-adhoc-199.txt,0,0,0,0,0,0,0,2,0,0,0.12917377528637558,1.5681907814778575,0
198,1994-trec3-adhoc-198.txt,0,0,0,0,0,0,0,0,0,0,-0.18009008136381288,9.008721372538547,0
197,1994-trec3-adhoc-197.txt,0,0,0,0,0,0,0,0,0,0,0.1710650262446847,7.179481706434789,0
196,1994-trec3-adhoc-196.txt,0,0,0,0,0,0,0,0,0,0,0.027585750231757356,3.37611130933244,0
195,1994-trec3-adhoc-195.txt,0,0,0,0,0,0,0,0,0,0,0.22268085637349425,63.01569540702393,1
194,1994-trec3-adhoc-194.txt,0,0,0,0,0,0,0,0,0,0,0.09724137931034524,15.15382225798132,0
193,1994-trec3-adhoc-193.txt,0,0,0,0,0,0,0,0,0,0,-0.025768987877947718,23.11703594918534,1
192,1994-trec3-adhoc-192.txt,0,0,0,0,0,0,2,1,0,0,0.5854190241102709,384.7039127608269,1
191,1994-trec3-adhoc-191.txt,0,0,0,0,2,0,0,0,0,0,0.08424866633029662,21.201119029651064,1
190,1994-trec3-adhoc-190.txt,0,0,0,0,0,0,0,0,0,0,0.00211304342729202,3.6548140442208,0
189,1994-trec3-adhoc-189.txt,0,0,0,0,0,0,0,0,0,0,0.08198752050044883,187.43997717415348,1
188,1994-trec3-adhoc-188.txt,0,0,0,0,1,0,0,0,0,0,0.18912219364303492,16.542677312846646,0
187,1994-trec3-adhoc-187.txt,0,0,0,0,0,0,0,0,0,0,0.09357517763063689,20.262001912831064,1
186,1994-trec3-adhoc-186.txt,0,0,0,0,0,0,0,0,0,0,0.12572628520904403,4.548841646827313,0
185,1994-trec3-adhoc-185.txt,0,0,0,0,2,0,0,0,0,0,0.2615599610046565,20.761906457086297,1
184,1994-trec3-adhoc-184.txt,0,0,0,0,0,0,0,0,0,0,0.0479732951835955,8.93196504913023,0
183,1994-trec3-adhoc-183.txt,0,0,0,0,0,0,1,0,0,0,-0.1581627694063497,10.355019519388039,0
182,1994-trec3-adhoc-182.txt,0,0,0,0,0,0,0,0,0,0,0.11295095026744063,3.687745499630487,0
181,1994-trec3-adhoc-181.txt,0,0,0,0,0,0,0,0,0,0,0.1394257703081232,1.0131815836917233,0
180,1994-trec3-adhoc-180.txt,0,1,0,0,2,0,2,0,0,0,0.14686730452209776,17.013888212028416,1
179,1994-trec3-adhoc-179.txt,0,0,0,0,2,0,0,0,0,0,-0.016946080374067137,2.7597335649865733,0
178,1994-trec3-adhoc-178.txt,0,0,0,0,1,0,2,0,0,0,-0.026883504812479222,2.9190638551611285,0
177,1994-trec3-adhoc-177.txt,0,0,0,0,2,0,0,0,0,0,0.008550016251218779,23.791917152954703,0
176,1994-trec3-adhoc-176.txt,0,0,0,0,0,0,0,0,0,0,0.08144662823807192,10.618726379632797,1
175,1994-trec3-adhoc-175.txt,0,2,0,0,0,0,2,0,0,0,0.26805638549798133,13.500161373874148,0
174,1994-trec3-adhoc-174.txt,0,0,2,0,0,0,0,0,0,0,0.08322527006619913,12.358734094395313,0
173,1994-trec3-adhoc-173.txt,0,0,0,0,0,0,2,0,0,0,0.22081930573359076,47.131338538312924,1
172,1994-trec3-adhoc-172.txt,0,0,0,0,0,0,0,0,0,0,0.08475473801560791,1.2463768115942029,0
171,1994-trec3-adhoc-171.txt,0,0,0,0,0,0,0,0,0,0,-0.03967428967428973,0.5456131455735888,0
170,1994-trec3-adhoc-170.txt,0,1,0,0,0,0,0,0,0,0,-0.009573612228479425,0.15243163804104132,0
169,1994-trec3-adhoc-169.txt,0,0,0,0,0,0,0,0,0,0,-0.09450059362537672,1.7534195986205008,0
168,1994-trec3-adhoc-168.txt,0,3,0,0,0,0,0,0,0,0,-0.05440854107040116,10.6830996917623,0
167,1994-trec3-adhoc-167.txt,0,0,0,0,1,0,0,0,0,0,-0.10138314154526393,4.134307194375082,0
166,1994-trec3-adhoc-166.txt,0,0,0,0,0,0,0,0,0,0,0.006837976557885746,2.615108969767514,0
165,1994-trec3-adhoc-165.txt,0,0,0,0,0,0,0,0,0,0,-0.10899758454106281,2.8240879983655955,0
164,1994-trec3-adhoc-164.txt,0,2,0,0,0,0,2,0,0,0,0.2795486851457001,16.917274284816646,0
163,1994-trec3-adhoc-163.txt,0,0,3,0,2,0,1,1,0,0,-0.14182068889944105,11.155113020888596,0
162,1994-trec3-adhoc-162.txt,0,0,0,0,0,0,2,0,0,0,0.10282306098797056,5.6181189380822305,0
161,1994-trec3-adhoc-161.txt,0,0,0,0,0,0,0,0,0,0,-0.008746328259655725,26.08040454224098,1
160,1994-trec3-adhoc-160.txt,0,0,0,0,0,0,0,0,0,0,-0.010466620523722353,2.432586209044577,0
159,1994-trec3-adhoc-159.txt,0,0,0,0,0,0,0,0,0,0,-0.05166418281172377,0.5354435778323405,0
158,1994-trec3-adhoc-158.txt,0,2,0,0,0,0,0,0,0,0,-0.029205607476635517,0.4470308819077866,0
157,1994-trec3-adhoc-157.txt,0,0,0,0,0,0,0,0,0,0,-0.08577175957831248,2.219347200761511,0
156,1994-trec3-adhoc-156.txt,0,0,2,0,0,0,2,0,0,0,0.2850709665605728,125.91669342092335,1
155,1994-trec3-adhoc-155.txt,0,0,0,0,1,0,0,0,0,0,0.10891198584697029,3.2851826133780806,0
154,1994-trec3-adhoc-154.txt,0,0,0,0,0,0,2,0,0,0,0.5054145992511637,1615.6725095213578,1
