Topic,File,ExplicitDate,OrganizationEntity,OtherEntity,PersonEntity,PlaceEntity,FutureEvent,GenericEvent,IndirectEventReference,PeriodicEvent,SpecificEvent,ACF,DPS,Temporal
200,1994-trec3-adhoc-200.txt,0,0,0,0,2,0,0,0,0,0,0.1132312723046465,10.506365984242828,0
199,1994-trec3-adhoc-199.txt,0,0,0,0,0,0,0,2,0,0,0.09230632551528148,0.52080592274304,0
198,1994-trec3-adhoc-198.txt,0,0,0,0,0,0,0,0,0,0,0.209197651663405,37.54185246466295,1
197,1994-trec3-adhoc-197.txt,0,0,0,0,0,0,0,0,0,0,0.18776849248155042,21.606204192877716,1
196,1994-trec3-adhoc-196.txt,0,0,0,0,0,0,0,0,0,0,0.35783618481053014,63.89436924077421,0
195,1994-trec3-adhoc-195.txt,0,0,0,0,0,0,0,0,0,0,0.2066119437751843,92.94840502631385,1
194,1994-trec3-adhoc-194.txt,0,0,0,0,0,0,0,0,0,0,0.14486331781308512,7.2680077032992365,0
193,1994-trec3-adhoc-193.txt,0,0,0,0,0,0,0,0,0,0,0.13110841787114375,3.2699522831610004,0
192,1994-trec3-adhoc-192.txt,0,0,0,0,0,0,2,1,0,0,0.056705888761780066,4.68910798608628,0
191,1994-trec3-adhoc-191.txt,0,0,0,0,2,0,0,0,0,0,0.19492579176271516,10.774456169506104,0
190,1994-trec3-adhoc-190.txt,0,0,0,0,0,0,0,0,0,0,0.21162342550115426,4.873995745164497,0
189,1994-trec3-adhoc-189.txt,0,0,0,0,0,0,0,0,0,0,0.3543497825043406,167.14927738959852,1
188,1994-trec3-adhoc-188.txt,0,0,0,0,1,0,0,0,0,0,0.18598750302067876,0.90517812473405,0
187,1994-trec3-adhoc-187.txt,0,0,0,0,0,0,0,0,0,0,0.31081229354033063,160.21237519737696,1
186,1994-trec3-adhoc-186.txt,0,0,0,0,0,0,0,0,0,0,0.1368240343347638,3.1458457327049345,0
185,1994-trec3-adhoc-185.txt,0,0,0,0,2,0,0,0,0,0,0.29625046869141364,52.4055421858554,0
184,1994-trec3-adhoc-184.txt,0,0,0,0,0,0,0,0,0,0,0.12250067854881022,18.513286816258645,0
183,1994-trec3-adhoc-183.txt,0,0,0,0,0,0,1,0,0,0,0.2766501023956328,52.25892438293003,1
182,1994-trec3-adhoc-182.txt,0,0,0,0,0,0,0,0,0,0,0.12134627546951865,6.304526344329021,0
181,1994-trec3-adhoc-181.txt,0,0,0,0,0,0,0,0,0,0,-0.007670334320778574,0.12655590706196165,0
180,1994-trec3-adhoc-180.txt,0,1,0,0,2,0,2,0,0,0,0.31538781081241407,21.60901017487344,0
179,1994-trec3-adhoc-179.txt,0,0,0,0,2,0,0,0,0,0,0.2272727272727273,11.650253612051815,0
178,1994-trec3-adhoc-178.txt,0,0,0,0,1,0,2,0,0,0,-0.015226494099733544,0.24489827795218258,0
177,1994-trec3-adhoc-177.txt,0,0,0,0,2,0,0,0,0,0,0.1296217532229441,7.062400150588575,0
176,1994-trec3-adhoc-176.txt,0,0,0,0,0,0,0,0,0,0,0.4880963408985641,114.92882156592273,1
175,1994-trec3-adhoc-175.txt,0,2,0,0,0,0,2,0,0,0,-0.019179894179894165,0.22266519137115628,0
174,1994-trec3-adhoc-174.txt,0,0,2,0,0,0,0,0,0,0,0.36970567121320896,31.848231305837057,1
173,1994-trec3-adhoc-173.txt,0,0,0,0,0,0,2,0,0,0,0.29159015791406534,77.02752946985224,1
172,1994-trec3-adhoc-172.txt,0,0,0,0,0,0,0,0,0,0,-0.08904109589041097,2.064831038938069,0
171,1994-trec3-adhoc-171.txt,0,0,0,0,0,0,0,0,0,0,-0.10944759938048503,1.7326920981365603,0
170,1994-trec3-adhoc-170.txt,0,1,0,0,0,0,0,0,0,0,0.5923315710937596,27.460156592067587,0
169,1994-trec3-adhoc-169.txt,0,0,0,0,0,0,0,0,0,0,0.18965517241379312,15.936941675988779,0
168,1994-trec3-adhoc-168.txt,0,3,0,0,0,0,0,0,0,0,0.003293197488936883,10.097995167155423,0
167,1994-trec3-adhoc-167.txt,0,0,0,0,1,0,0,0,0,0,0.011650485436893284,6.943933281087723,0
166,1994-trec3-adhoc-166.txt,0,0,0,0,0,0,0,0,0,0,-0.041666666666666664,0.48788453670477683,0
165,1994-trec3-adhoc-165.txt,0,0,0,0,0,0,0,0,0,0,0.2461199644605757,15.396166300555237,0
164,1994-trec3-adhoc-164.txt,0,2,0,0,0,0,2,0,0,0,0.4975564925855831,13.626977083929727,0
163,1994-trec3-adhoc-163.txt,0,0,3,0,2,0,1,1,0,0,0.2020581258426196,2.9307143073230013,0
162,1994-trec3-adhoc-162.txt,0,0,0,0,0,0,2,0,0,0,0.2445412801049572,64.47508448236765,1
161,1994-trec3-adhoc-161.txt,0,0,0,0,0,0,0,0,0,0,0.10771358024691356,24.415682067570035,0
160,1994-trec3-adhoc-160.txt,0,0,0,0,0,0,0,0,0,0,0.09267994148729755,2.57345095154941,0
159,1994-trec3-adhoc-159.txt,0,0,0,0,0,0,0,0,0,0,0.20731205414304005,8.53411394261556,0
158,1994-trec3-adhoc-158.txt,0,2,0,0,0,0,0,0,0,0,0.4467616314818613,98.96287085108506,1
157,1994-trec3-adhoc-157.txt,0,0,0,0,0,0,0,0,0,0,0.11793637074535945,3.8360290527896335,0
156,1994-trec3-adhoc-156.txt,0,0,2,0,0,0,2,0,0,0,0.2538794079891263,60.86560024313736,1
155,1994-trec3-adhoc-155.txt,0,0,0,0,1,0,0,0,0,0,0.16700490444782612,1.7642569361689282,0
154,1994-trec3-adhoc-154.txt,0,0,0,0,0,0,2,0,0,0,0.1678141141782858,48.04533424584316,1
153,1994-trec3-adhoc-153.txt,0,0,0,0,0,0,0,0,0,0,-0.03485954906454878,4.86485772129979,0
152,1994-trec3-adhoc-152.txt,0,1,0,0,1,0,2,0,0,0,0.2553160509176032,108.98224580960076,1
151,1994-trec3-adhoc-151.txt,0,0,0,0,0,0,0,0,0,0,-0.0295815295815297,0.609262043421352,0
150,1993-trec2-adhoc-150.txt,0,0,0,0,2,0,0,0,0,0,0.32961312417102834,138.80192301394914,1
149,1993-trec2-adhoc-149.txt,0,0,0,0,0,0,0,0,0,0,0.14391530986549975,25.778979608511357,0
148,1993-trec2-adhoc-148.txt,0,0,0,0,5,0,2,1,0,0,0.14675335966238764,24.71545703151833,0
147,1993-trec2-adhoc-147.txt,0,0,0,0,2,0,0,0,0,0,0.10163556375505559,45.21402262738889,1
146,1993-trec2-adhoc-146.txt,0,0,0,0,0,0,2,2,0,0,0.20288190192799757,53.24627354368407,0
145,1993-trec2-adhoc-145.txt,0,0,0,0,3,0,0,0,0,0,0.3366694086463758,24.15540599576776,0
144,1993-trec2-adhoc-144.txt,0,2,0,0,0,0,0,0,0,0,-0.031960804753466084,0.6261942793369867,0
143,1993-trec2-adhoc-143.txt,0,0,0,0,3,0,0,0,0,0,0.3179663000585173,60.21601472033597,1
142,1993-trec2-adhoc-142.txt,0,0,0,0,0,0,0,0,0,0,0.31306642162592074,151.7923930736908,1
141,1993-trec2-adhoc-141.txt,0,0,0,0,5,0,0,0,0,0,0.02287420310676136,2.5140017801509273,0
140,1993-trec2-adhoc-140.txt,0,0,2,0,1,0,0,0,0,0,-0.044255319148936094,0.6428429584682348,0
139,1993-trec2-adhoc-139.txt,0,0,0,0,3,0,0,2,0,0,-0.05234529264930504,0.8763459793067334,0
138,1993-trec2-adhoc-138.txt,0,0,0,0,4,0,0,0,0,0,0.07469220246238005,2.0502892101096934,0
137,1993-trec2-adhoc-137.txt,0,0,0,0,3,0,0,0,0,0,0.20994643834047935,19.61087750243231,1
136,1993-trec2-adhoc-136.txt,0,2,0,0,0,0,0,0,0,0,0.1251333619373111,15.871222758831502,1
135,1993-trec2-adhoc-135.txt,0,0,0,0,0,0,0,0,0,0,0.33240787481070155,73.68238393301057,1
134,1993-trec2-adhoc-134.txt,0,0,2,0,0,0,0,2,0,0,0.17893741261616888,2.5705532348682305,0
133,1993-trec2-adhoc-133.txt,0,0,2,0,0,0,0,2,0,0,0.4911428791912667,6.064478749509693,0
132,1993-trec2-adhoc-132.txt,0,0,0,0,1,0,1,0,0,0,0.1463768115942029,10.891181766192014,0
131,1993-trec2-adhoc-131.txt,0,2,0,0,0,0,2,0,0,0,0.24391610630803712,2.2763288091345473,0
130,1993-trec2-adhoc-130.txt,0,0,2,0,5,0,0,0,0,0,0.15286449177160527,18.576118706703117,0
