Topic,File,ExplicitDate,OrganizationEntity,OtherEntity,PersonEntity,PlaceEntity,FutureEvent,GenericEvent,IndirectEventReference,PeriodicEvent,SpecificEvent,ACF,DPS,Temporal
N99,2004-novelty-adhoc-N99.txt,0,0,0,0,0,0,0,0,0,0,0.1576168929110107,2.5182477050637986,0
N98,2004-novelty-adhoc-N98.txt,0,0,0,0,2,0,0,0,0,1,0.273940209729789,4.2049952558361765,1
N97,2004-novelty-adhoc-N97.txt,0,0,0,0,2,0,0,0,0,0,0.1043194911498661,2.518150328762964,0
N96,2004-novelty-adhoc-N96.txt,0,0,0,0,0,0,0,0,0,0,-0.015400156681647646,3.9463641369552764,0
N95,2004-novelty-adhoc-N95.txt,1,0,1,0,2,0,0,0,0,2,0.23245033112582875,7.813363171434914,1
N94,2004-novelty-adhoc-N94.txt,0,0,0,0,0,0,0,0,0,0,0.021763025446210862,2.8151803016045416,0
N93,2004-novelty-adhoc-N93.txt,0,0,0,0,0,0,0,0,0,0,0.17683413078149918,2.8826924407909185,0
N92,2004-novelty-adhoc-N92.txt,0,0,0,2,1,0,0,0,0,2,0.13453893776474415,3.0138770340257555,1
N91,2004-novelty-adhoc-N91.txt,0,0,0,0,3,0,0,0,0,0,-0.04510599717794887,3.5828842029377372,0
N90,2004-novelty-adhoc-N90.txt,0,0,0,2,1,0,0,0,0,2,-0.005072347361040648,14.804217335368051,1
N89,2004-novelty-adhoc-N89.txt,0,0,0,0,0,0,0,0,0,0,0.14356224518227445,4.314384148747114,0
N88,2004-novelty-adhoc-N88.txt,0,1,0,0,2,0,0,0,0,2,-0.033171289676865875,3.9009046542448993,1
N87,2004-novelty-adhoc-N87.txt,1,0,0,0,2,0,0,0,0,2,-0.011010849715329271,16.04173076944093,1
N86,2004-novelty-adhoc-N86.txt,0,0,0,0,0,0,0,0,0,0,0.06050178339818418,1.6440503172186547,0
N85,2004-novelty-adhoc-N85.txt,0,0,0,2,1,0,0,0,0,2,-0.04306427722578994,8.945370686588639,1
N84,2004-novelty-adhoc-N84.txt,0,0,0,0,0,0,0,0,0,0,0.019135366193450222,5.023959574256435,0
N83,2004-novelty-adhoc-N83.txt,0,0,0,0,1,0,0,0,0,2,0.07883387017524685,3.5176645751616227,1
N82,2004-novelty-adhoc-N82.txt,1,0,0,1,1,0,0,0,0,2,-0.04375131940046453,3.073462164845778,1
N81,2004-novelty-adhoc-N81.txt,0,0,0,1,1,0,0,0,0,1,0.2647927766030705,5.065513908457481,1
N80,2004-novelty-adhoc-N80.txt,1,0,0,0,2,0,0,0,0,2,0.25173860603572157,10.237422337265098,1
N79,2004-novelty-adhoc-N79.txt,0,0,1,2,0,0,0,0,0,2,0.09128463163125945,4.420584871869696,1
N78,2004-novelty-adhoc-N78.txt,0,1,0,0,2,0,0,0,0,0,-0.003793754671919337,2.558124011625185,0
N77,2004-novelty-adhoc-N77.txt,0,0,0,1,0,0,0,0,0,0,-0.020456778727332252,11.426495312717039,0
N76,2004-novelty-adhoc-N76.txt,0,1,0,0,1,0,0,0,0,0,0.003163190198976776,3.193381620788831,0
N75,2004-novelty-adhoc-N75.txt,0,1,0,2,1,0,0,0,0,2,0.4510211422698572,5.8682976639289635,0
N74,2004-novelty-adhoc-N74.txt,1,0,0,2,0,0,0,0,0,2,0.11085103726905504,6.625586796263498,1
N73,2004-novelty-adhoc-N73.txt,1,0,2,2,0,0,0,0,0,2,-0.020541053432806135,3.57297481926761,1
N72,2004-novelty-adhoc-N72.txt,0,2,0,0,0,0,0,0,0,2,0.047647468417388074,7.444427738799582,1
N71,2004-novelty-adhoc-N71.txt,0,0,1,0,1,0,0,0,0,2,0.20105820105820113,5.250621420083941,0
N70,2004-novelty-adhoc-N70.txt,0,0,0,0,0,0,0,0,0,0,0.049420361176346225,3.2514707787162367,0
N69,2004-novelty-adhoc-N69.txt,1,0,2,0,2,0,0,0,0,2,0.20906214393496297,2.5324030273082263,1
N68,2004-novelty-adhoc-N68.txt,0,0,3,1,0,0,0,0,0,2,0.1050652591357916,13.026604437605762,1
N67,2004-novelty-adhoc-N67.txt,0,0,0,0,2,0,0,2,0,0,0.15182428085653807,2.7324956815484653,0
N66,2004-novelty-adhoc-N66.txt,0,2,0,0,0,0,0,0,0,0,0.07179705263049084,5.745153367609304,0
N65,2004-novelty-adhoc-N65.txt,1,0,0,2,5,0,0,0,0,2,0.3924671694377317,19.559151768784588,0
N64,2004-novelty-adhoc-N64.txt,0,0,0,0,2,0,0,0,0,2,0.07304936305732485,14.816455909335142,1
N63,2004-novelty-adhoc-N63.txt,0,0,0,0,3,0,2,0,0,0,0.1529611700484088,3.8803423161212165,0
N62,2004-novelty-adhoc-N62.txt,0,2,0,2,0,0,0,0,2,0,0.03930337788066927,3.5562261248656313,0
N61,2004-novelty-adhoc-N61.txt,0,0,0,0,0,0,0,0,0,0,-0.0102585477529488,3.5045793508676018,0
N60,2004-novelty-adhoc-N60.txt,0,0,2,0,0,0,0,2,0,0,-0.008226043970923663,9.015744514022977,0
N59,2004-novelty-adhoc-N59.txt,1,0,0,2,0,0,0,0,0,2,-0.0026643061657159245,17.28148015030185,1
N58,2004-novelty-adhoc-N58.txt,0,0,0,0,0,0,0,0,0,0,0.054885407892586495,2.7376109034219813,0
N57,2004-novelty-adhoc-N57.txt,1,0,0,0,4,0,0,0,0,2,-0.08896850276160619,2.2018153568296914,1
N56,2004-novelty-adhoc-N56.txt,1,0,0,0,2,0,0,0,0,2,0.29421647423248753,5.934188505573288,1
N55,2004-novelty-adhoc-N55.txt,2,0,0,0,4,0,1,0,0,2,0.37745307535571526,5.121994570289787,1
N54,2004-novelty-adhoc-N54.txt,0,2,0,0,0,0,0,0,0,2,0.2607604797563325,2.8979622809222074,1
N53,2004-novelty-adhoc-N53.txt,0,0,0,2,0,0,0,0,0,2,0.030983911978046418,2.6379847050684813,1
N52,2004-novelty-adhoc-N52.txt,0,0,2,0,0,0,0,0,0,0,0.12350462442734886,2.4810599161666818,0
N51,2004-novelty-adhoc-N51.txt,0,0,0,2,3,0,0,0,0,2,0.3266307145690395,7.897842486490392,1
N100,2004-novelty-adhoc-N100.txt,0,0,0,0,3,0,0,0,0,0,0.052308506297556664,4.628933369548443,0
N9,2003-novelty-adhoc-N9.txt,0,2,0,0,0,0,0,0,0,2,0.20259242614187348,7.743929332071377,1
N8,2003-novelty-adhoc-N8.txt,0,0,0,2,2,0,0,0,0,2,-0.06382928647079587,4.9265866408695365,1
N7,2003-novelty-adhoc-N7.txt,1,0,0,0,2,0,0,0,2,2,-0.003844167575816391,4.81140824918115,1
N6,2003-novelty-adhoc-N6.txt,1,0,1,1,0,0,0,2,0,0,-3.5226533709083576E-4,1.7935730157764205,1
N50,2003-novelty-adhoc-N50.txt,1,0,0,2,0,0,0,0,0,2,0.11497684259806708,9.94176390364924,1
N5,2003-novelty-adhoc-N5.txt,1,0,0,0,0,0,0,0,2,1,0.3736696336407794,9.125350487300095,1
N49,2003-novelty-adhoc-N49.txt,1,0,0,0,0,0,0,0,2,2,-0.02483076500718838,10.004109256083233,1
N48,2003-novelty-adhoc-N48.txt,0,1,0,0,0,0,0,0,0,2,-0.04221572680490059,2.168423716440262,1
N47,2003-novelty-adhoc-N47.txt,1,0,0,2,2,0,0,0,0,2,0.029362490772686125,3.428216065887723,1
N46,2003-novelty-adhoc-N46.txt,0,2,0,0,2,0,0,0,0,2,0.0874543480406674,11.628714786020629,1
N45,2003-novelty-adhoc-N45.txt,0,0,0,2,0,0,0,0,0,2,-0.043810289389067524,7.095548426354448,1
N44,2003-novelty-adhoc-N44.txt,1,0,0,0,2,0,0,0,0,2,0.10239255881329835,6.1690163332187105,1
N43,2003-novelty-adhoc-N43.txt,1,0,0,0,2,0,0,0,0,2,0.10204230760032842,16.115666264402925,1
N42,2003-novelty-adhoc-N42.txt,1,0,0,2,0,0,0,0,0,2,0.20268665425055518,5.193209471210861,1
N41,2003-novelty-adhoc-N41.txt,1,0,0,0,4,0,0,0,0,2,0.29785418437419875,3.8114431553167396,1
N40,2003-novelty-adhoc-N40.txt,0,0,0,2,2,0,0,0,0,1,0.12981037877244941,2.973463541041037,1
N4,2003-novelty-adhoc-N4.txt,1,0,2,0,0,0,0,0,0,2,0.07674953360232495,5.894753890814273,1
N39,2003-novelty-adhoc-N39.txt,0,0,2,0,0,0,0,0,0,0,-0.054813686961173565,6.028387755456499,1
N38,2003-novelty-adhoc-N38.txt,0,0,0,0,0,0,0,0,0,0,0.10509083227714412,3.278326143846282,0
N37,2003-novelty-adhoc-N37.txt,0,0,0,0,2,0,0,0,2,2,0.32412517824717524,3.2777955379426733,1
