Topic,File,ExplicitDate,OrganizationEntity,OtherEntity,PersonEntity,PlaceEntity,FutureEvent,GenericEvent,IndirectEventReference,PeriodicEvent,SpecificEvent,ACF,DPS,Temporal
1050,2008-blog08-opinion-1050.txt,0,0,0,2,0,0,0,0,0,0,0.23326780147869206,205.4591084044288,1
1049,2008-blog08-opinion-1049.txt,0,2,0,0,0,0,0,0,0,0,0.06932753828403608,18.892214653630752,0
1048,2008-blog08-opinion-1048.txt,0,0,2,0,0,0,0,0,2,0,0.07622726285318102,20.698234376935368,0
1047,2008-blog08-opinion-1047.txt,0,2,0,0,0,0,0,0,0,0,-0.016249999999999997,8.15625,0
1046,2008-blog08-opinion-1046.txt,0,0,0,0,0,0,0,0,0,0,0.13410122084294068,72.03351104147616,0
1045,2008-blog08-opinion-1045.txt,0,0,2,0,0,0,0,0,2,0,0.07270521363969769,1.4343066024095936,0
1044,2008-blog08-opinion-1044.txt,0,0,0,0,0,0,0,0,0,0,0.12535520707447145,90.92718436298385,0
1043,2008-blog08-opinion-1043.txt,0,0,2,1,0,0,0,2,0,0,0.6875982217827181,898.0825447091484,1
1042,2008-blog08-opinion-1042.txt,0,0,0,2,1,0,0,0,0,1,0.08655337729573756,34.768788923859226,0
1041,2008-blog08-opinion-1041.txt,0,0,0,0,0,0,0,0,0,0,-0.1081267107815783,1.871419334456184,0
1040,2008-blog08-opinion-1040.txt,0,1,1,0,0,0,0,0,0,0,0.029801594406042294,14.78088717415252,1
1039,2008-blog08-opinion-1039.txt,0,2,0,0,0,0,0,0,0,0,-0.04195103943819179,7.612587756336799,0
1038,2008-blog08-opinion-1038.txt,0,0,0,0,2,0,0,0,0,0,0.0012811615865052244,5.445717864286773,0
1037,2008-blog08-opinion-1037.txt,0,2,0,0,2,0,0,0,0,0,-0.07346868227567027,3.9993262313205946,0
1036,2008-blog08-opinion-1036.txt,0,0,2,0,0,0,0,0,2,0,0.16519519338626634,541.9410590492254,0
1035,2008-blog08-opinion-1035.txt,0,2,0,0,0,0,0,0,0,0,0.17961323219216038,9.301440018089474,0
1034,2008-blog08-opinion-1034.txt,0,0,0,2,0,0,0,0,0,0,0.09600000000000006,6.471455086297176,1
1033,2008-blog08-opinion-1033.txt,0,2,0,0,0,0,0,0,0,0,0.06411128052590795,23.276806913141645,0
1032,2008-blog08-opinion-1032.txt,0,0,2,0,0,0,0,0,0,0,0.13053975757851244,24.288966978665975,1
1031,2008-blog08-opinion-1031.txt,0,2,0,0,0,0,0,0,0,0,0.29879228653057277,38.858418068379585,0
1030,2008-blog08-opinion-1030.txt,0,2,0,0,0,0,0,0,0,0,0.16964251299736288,9.529853982862255,1
1029,2008-blog08-opinion-1029.txt,0,0,0,2,0,0,0,0,0,0,0.28844274991063984,198.56708717727045,1
1028,2008-blog08-opinion-1028.txt,1,1,2,0,2,0,0,0,0,1,0.246441442363025,556.0805600057661,1
1027,2008-blog08-opinion-1027.txt,0,0,3,0,0,0,0,0,0,0,0.23933438907715385,16.673653741833366,0
1026,2008-blog08-opinion-1026.txt,0,0,0,0,1,0,0,0,0,0,0.4604125841408999,63.22935522923794,1
1025,2008-blog08-opinion-1025.txt,0,1,0,2,0,0,0,0,0,0,0.07826484018264843,13.653406552932298,0
1024,2008-blog08-opinion-1024.txt,0,0,2,0,0,0,0,0,0,0,0.5137971962934919,354.959549322971,1
1023,2008-blog08-opinion-1023.txt,0,0,3,0,0,0,0,0,0,0,0.26695236115544846,20.526286880338763,0
1022,2008-blog08-opinion-1022.txt,0,2,0,0,0,0,0,0,0,0,0.03509176250679832,4.619261772355467,0
1021,2008-blog08-opinion-1021.txt,0,2,0,0,0,0,0,0,0,2,0.08311584892529249,4.164045729790965,1
1020,2008-blog08-opinion-1020.txt,0,0,0,0,0,0,0,0,0,0,0.421896990693158,838.1733011471504,1
1019,2008-blog08-opinion-1019.txt,0,0,0,0,2,0,0,0,0,0,0.1779764703986816,7.440059910640562,1
1018,2008-blog08-opinion-1018.txt,0,1,1,1,0,0,0,0,2,0,0.12978165213781653,27.46216277536837,0
1017,2008-blog08-opinion-1017.txt,0,0,0,2,1,0,0,0,0,0,0.27508624984380886,568.713194695294,1
1016,2008-blog08-opinion-1016.txt,0,2,0,0,0,0,0,0,0,0,0.00510204081632653,20.19415143284636,1
1015,2008-blog08-opinion-1015.txt,0,0,2,0,0,0,0,0,0,0,0.40343173059222287,35.01095759138649,1
1014,2008-blog08-opinion-1014.txt,0,0,0,0,0,0,0,0,0,0,0.16009191880505594,6.823790002212951,1
1013,2008-blog08-opinion-1013.txt,0,2,0,0,2,0,0,0,0,0,0.11711309523809509,0.508269362220061,0
1012,2008-blog08-opinion-1012.txt,0,0,0,2,0,0,0,0,0,0,0.08086486486486488,5.029896766854734,1
1011,2008-blog08-opinion-1011.txt,0,2,0,0,0,0,0,0,0,0,0.03601317987921557,4.329885484570373,1
1010,2008-blog08-opinion-1010.txt,0,0,2,0,0,0,0,0,0,0,0.46199137869337137,38.43908357867176,0
1009,2008-blog08-opinion-1009.txt,0,0,0,2,0,0,0,0,0,0,0.03159944089456868,10.887213722921253,1
1008,2008-blog08-opinion-1008.txt,0,2,0,0,0,0,0,0,0,0,0.14140250430573,34.58217020930087,0
1007,2008-blog08-opinion-1007.txt,0,0,0,0,2,0,0,0,0,0,0.008229902322865348,17.604330837675594,0
1006,2008-blog08-opinion-1006.txt,0,0,0,2,0,0,0,0,0,2,0.09209364056121853,7.405621439947342,0
1005,2008-blog08-opinion-1005.txt,0,1,2,0,0,0,0,0,0,0,0.4176732483007701,108.91017006366306,0
1004,2008-blog08-opinion-1004.txt,0,2,0,0,0,0,0,0,0,0,0.15249467180432272,63.39530250701873,0
1003,2008-blog08-opinion-1003.txt,0,2,0,0,0,0,0,0,0,0,-0.07683579186253861,0.7990369122055833,0
1002,2008-blog08-opinion-1002.txt,0,0,2,0,0,0,0,0,0,0,0.012517180692705134,1.598513111081221,0
1001,2008-blog08-opinion-1001.txt,0,2,0,0,0,0,0,0,0,0,0.05455112219451372,2.18790088837138,0
950,2007-blog07-opinion-950.txt,0,2,0,0,0,0,0,0,0,0,0.042365908511578926,46.93557602520011,0
949,2007-blog07-opinion-949.txt,0,0,0,2,1,0,0,0,0,0,0.4409491685898578,8.533601561728254,0
948,2007-blog07-opinion-948.txt,0,2,0,0,0,0,0,0,0,0,-0.007878442711527609,0.8133530506105169,0
947,2007-blog07-opinion-947.txt,0,0,0,2,0,0,0,0,1,1,0.446097442085224,55.31842310594941,1
946,2007-blog07-opinion-946.txt,0,2,0,0,0,0,0,0,0,0,0.16863502956280638,50.382194222490206,0
945,2007-blog07-opinion-945.txt,0,0,0,0,2,0,0,2,0,0,0.3033294832333257,172.5653334174595,0
944,2007-blog07-opinion-944.txt,0,1,4,0,0,0,0,0,0,0,0.22128569409103765,118.22574686706287,0
943,2007-blog07-opinion-943.txt,0,1,0,2,1,0,0,0,0,0,0.3575493595979868,290.7415931857451,1
942,2007-blog07-opinion-942.txt,0,0,0,0,0,0,0,0,0,0,0.2901963595749819,60.00407559150307,0
941,2007-blog07-opinion-941.txt,0,0,0,2,0,0,0,0,0,0,0.30568999681170844,116.22438499100316,0
940,2007-blog07-opinion-940.txt,0,0,1,2,0,0,0,1,0,0,0.089688630830129,16.851458630797868,0
939,2007-blog07-opinion-939.txt,0,0,2,0,0,0,0,0,0,0,-0.06883934649421371,0.7256960824736683,0
938,2007-blog07-opinion-938.txt,0,0,2,0,0,0,0,0,2,2,0.16969378261397228,7.377026114084721,1
937,2007-blog07-opinion-937.txt,0,0,2,0,0,0,0,0,0,0,0.17595204826224872,16.334664732640903,1
936,2007-blog07-opinion-936.txt,0,0,2,0,0,0,0,0,2,2,0.386631198099002,1484.4153173949132,1
935,2007-blog07-opinion-935.txt,0,0,0,2,0,0,0,0,0,0,0.31316191971181184,551.4455873556334,0
934,2007-blog07-opinion-934.txt,0,0,3,0,0,0,0,0,0,0,0.03514228111320416,5.052816356500353,0
933,2007-blog07-opinion-933.txt,0,2,0,0,0,0,0,0,2,2,0.77892537872453,2671.83352277897,1
932,2007-blog07-opinion-932.txt,0,1,2,0,0,0,0,0,0,0,0.3899446603946285,24.348065783797455,0
931,2007-blog07-opinion-931.txt,0,0,0,0,3,0,0,0,0,0,-0.11546666666666655,4.215563400988234,0
930,2007-blog07-opinion-930.txt,0,2,0,0,0,0,0,0,0,0,0.2736195754449855,59.94206623868962,0
929,2007-blog07-opinion-929.txt,0,0,0,0,0,0,0,0,0,0,0.0989407289710626,9.239373203203748,0
928,2007-blog07-opinion-928.txt,0,1,2,0,0,0,0,0,2,0,0.07972744877397753,9.471003505527127,1
927,2007-blog07-opinion-927.txt,0,0,3,0,0,0,0,0,2,0,0.2070167355947458,9.906834500467875,0
926,2007-blog07-opinion-926.txt,0,2,0,0,0,0,0,2,0,0,-0.008500132555673381,7.6564520776776455,0
925,2007-blog07-opinion-925.txt,0,0,0,0,0,0,0,0,2,0,-0.0550697037590241,9.817376160742802,1
924,2007-blog07-opinion-924.txt,0,0,0,2,0,0,0,0,0,0,0.33986083387629623,31.687230518635847,1
