topic,numrel,willis8,gsherma2
51,32,1,0
52,278,0,0
53,270,0,0
54,92,0,0
55,243,0,0
56,284,1,1
57,41,0,0
58,99,1,1
59,507,0,0
60,9,-1,-1
61,67,1,1
62,227,0,0
63,5,-1,-1
64,285,1,1
65,0,-1,-1
66,2,-1,-1
67,442,1,1
68,47,1,0
69,16,-1,-1
70,40,1,1
71,308,1,1
72,45,1,1
73,106,1,1
74,185,0,0
75,13,-1,-1
76,69,0,0
77,115,0,0
78,129,0,0
79,128,1,1
80,168,2,2
81,53,0,0
82,123,0,0
83,247,1,0
84,22,0,1
85,614,0,0
86,18,-1,-1
87,52,1,1
88,66,1,2
89,57,0,0
90,28,0,0
91,5,-1,-1
92,46,0,0
93,149,1,1
94,70,0,0
95,33,0,0
96,12,-1,-1
97,20,0,0
98,18,-1,-1
99,173,0,1
100,43,1,0
101,27,0,0
102,19,-1,-1
103,55,0,0
104,51,1,1
105,33,0,0
106,47,1,1
107,30,1,1
108,94,0,0
109,8,-1,-1
110,387,0,0
111,112,0,0
112,12,-1,-1
113,32,0,0
114,123,0,0
115,79,0,0
116,17,-1,-1
117,29,1,1
118,198,1,1
119,239,1,1
120,40,0,0
121,48,0,0
122,20,0,0
123,70,0,0
124,58,0,0
125,95,0,0
126,174,0,0
127,165,1,2
128,56,0,0
129,167,1,1
130,228,0,1
131,6,-1,-1
132,137,1,2
133,13,-1,-1
134,8,-1,-1
135,75,0,0
136,10,-1,-1
137,54,1,1
138,36,0,0
139,47,1,1
140,25,1,1
141,22,0,1
142,336,0,0
143,271,0,0
144,42,1,1
145,103,1,1
146,320,1,1
147,118,0,0
148,220,1,0
149,30,0,0
150,236,0,0
151,80,0,0
152,311,1,1
153,37,1,0
154,450,2,2
155,27,1,1
156,330,0,0
157,20,1,1
158,5,-1,-1
159,5,-1,-1
160,26,0,0
161,133,0,0
162,88,0,0
163,78,0,0
164,34,2,2
165,25,0,0
166,19,-1,-1
167,60,0,0
168,63,0,0
169,32,0,0
170,3,-1,-1
171,7,-1,-1
172,8,-1,-1
173,203,0,0
174,83,0,0
175,68,1,1
176,140,0,0
177,81,1,1
178,30,0,0
179,41,1,0
180,129,1,0
181,10,-1,-1
182,52,0,0
183,61,0,0
184,44,1,1
185,105,1,1
186,43,0,0
187,147,0,0
188,67,1,1
189,882,0,0
190,31,0,1
191,127,0,0
192,179,2,2
193,120,0,1
194,76,0,0
195,152,1,1
196,28,0,1
197,63,0,0
198,76,0,0
199,15,-1,-1
200,39,1,1
