topic,numrel,willis8,gsherma2
851,327,0,0
852,122,0,0
853,415,2,2
854,724,1,1
855,450,1,1
856,479,1,2
857,370,1,1
858,318,2,2
859,260,1,1
860,433,1,0
861,331,1,1
862,610,0,0
863,536,0,0
864,371,0,0
865,125,1,1
866,249,0,0
867,702,2,2
868,112,0,0
869,873,2,2
870,224,1,2
871,869,1,1
872,950,0,0
873,201,1,1
874,286,2,2
875,733,1,1
876,101,1,1
877,21,-1,-1
878,594,0,0
879,531,0,0
880,246,1,1
881,305,1,1
882,699,1,2
883,236,0,0
884,383,0,0
885,72,0,0
886,499,1,1
887,68,1,2
888,508,0,0
889,266,0,0
890,552,2,2
891,825,1,1
892,224,1,1
893,196,0,1
894,297,0,0
895,103,1,1
896,675,0,0
897,619,2,2
898,196,0,0
899,323,0,0
900,282,0,0
901,108,0,0
902,250,0,0
903,710,1,1
904,153,0,0
905,391,2,2
906,444,2,2
907,92,2,2
908,245,0,0
909,29,0,0
910,25,1,2
911,420,1,1
912,658,1,1
913,223,1,2
914,141,1,2
915,162,0,0
916,41,0,0
917,330,0,0
918,101,0,0
919,461,0,0
920,251,1,1
921,206,0,0
922,525,0,1
923,261,2,2
924,156,1,1
925,62,0,0
926,156,0,0
927,72,1,1
928,55,1,1
929,146,0,0
930,528,0,0
931,74,0,0
932,67,2,2
933,605,2,2
934,110,0,0
935,465,1,1
936,420,2,2
937,210,0,0
938,41,1,1
939,16,-1,-1
940,213,0,0
941,273,1,1
942,249,1,1
943,347,1,1
944,446,0,0
945,472,0,0
946,460,0,0
947,140,1,1
948,20,0,0
949,58,1,1
950,99,1,1
1001,42,1,1
1002,28,0,1
1003,20,0,0
1004,568,0,0
1005,689,1,0
1006,94,0,0
1007,204,0,0
1008,118,0,1
1009,193,0,0
1010,323,1,0
1011,81,0,0
1012,126,0,0
1013,12,-1,-1
1014,104,0,0
1015,53,2,2
1016,171,0,0
1017,732,0,0
1018,265,0,0
1019,89,0,1
1020,912,1,1
1021,100,1,1
1022,105,0,1
1023,49,2,2
1024,204,2,2
1025,168,0,0
1026,291,1,1
1027,309,0,0
1028,236,2,2
1029,394,1,1
1030,212,0,0
1031,92,1,1
1032,335,0,0
1033,426,0,0
1034,174,0,0
1035,214,0,0
1036,429,0,0
1037,55,0,0
1038,100,0,0
1039,95,0,0
1040,181,0,0
1041,65,0,0
1042,118,1,1
1043,388,2,2
1044,671,0,0
1045,33,0,0
1046,524,0,0
1047,141,0,0
1048,258,0,0
1049,190,0,0
1050,354,1,1
