topic,numrel,willis8,gsherma2
MB01,68,2,2
MB02,32,0,0
MB03,38,1,1
MB04,115,1,1
MB05,12,-1,2
MB06,25,0,0
MB07,120,1,0
MB08,102,1,1
MB09,144,1,2
MB10,48,2,2
MB11,6,-1,-1
MB12,4,-1,-1
MB13,28,2,2
MB14,119,1,1
MB15,2,-1,-1
MB16,2,-1,-1
MB17,64,2,2
MB18,1,-1,-1
MB19,57,1,1
MB20,173,2,1
MB21,147,2,2
MB22,138,2,2
MB23,89,0,0
MB24,93,2,2
MB25,86,1,1
MB26,138,1,1
MB27,74,1,0
MB28,38,1,-1
MB29,133,0,0
MB30,85,2,2
MB31,15,-1,-1
MB32,70,2,2
MB33,11,-1,-1
MB34,40,0,0
MB35,12,-1,-1
MB36,151,2,2
MB37,85,1,2
MB38,27,2,2
MB39,38,2,2
MB40,18,-1,-1
MB41,40,1,1
MB42,33,2,2
MB43,37,2,2
MB44,25,2,2
MB45,85,1,1
MB46,14,0,0
MB47,15,-1,-1
MB48,56,2,2
MB49,2,-1,-1
MB50,0,-1,-1
MB51,61,1,0
MB52,44,1,1
MB53,1,-1,-1
MB54,332,2,2
MB55,151,0,0
MB56,35,1,0
MB57,104,2,2
MB58,27,0,0
MB59,58,0,0
MB60,524,0,0
MB61,35,1,1
MB62,50,1,1
MB63,19,-1,-1
MB64,54,1,0
MB65,36,1,1
MB66,190,2,2
MB67,33,1,1
MB68,165,2,2
MB69,74,0,0
MB70,76,0,0
MB71,178,2,2
MB72,104,1,1
MB73,69,1,0
MB74,163,0,0
MB75,194,2,2
MB76,0,-1,-1
MB77,70,0,0
MB78,572,0,0
MB79,195,1,1
MB80,21,1,1
MB81,236,2,2
MB82,110,1,0
MB83,28,0,0
MB84,64,0,0
MB85,70,1,1
MB86,28,2,2
MB87,167,0,0
MB88,269,1,1
MB89,26,1,1
MB90,72,0,0
MB91,30,1,1
MB92,51,0,0
MB93,41,1,1
MB94,47,0,0
MB95,152,1,0
MB96,89,2,1
MB97,100,0,0
MB98,146,0,0
MB99,353,2,2
MB100,15,-1,-1
MB101,42,0,0
MB102,29,0,1
MB103,30,1,1
MB104,140,2,2
MB105,18,-1,-1
MB106,56,1,0
MB107,87,0,0
MB108,85,0,0
MB109,25,1,1
MB110,45,0,0
